ZIP,Census_Region
85734,West
85704,West
85725,West
85637,West
85751,West
85738,West
85752,West
85754,West
85726,West
85756,West
85719,West
85737,West
85757,West
85743,West
85708,West
85142,South
85658,South
85739,South
85173,South
85194,South
85141,South
85623,South
85140,South
85193,South
85631,South
85192,South
85138,South
85131,South
85248,South
85653,South
85539,South
85120,South
85618,South
85137,South
85139,South
85122,South
85212,South
85118,South
85128,South
85132,South
85119,South
85143,South
85145,South
85172,South
85191,South
85646,South
85640,South
85648,South
85624,South
85621,South
85611,South
85637,South
86343,South
86338,South
85362,South
86046,South
86342,South
86337,South
86321,South
86313,South
86351,South
86331,South
86340,South
86333,South
86323,South
86332,South
86334,South
86302,South
86312,South
85324,South
86303,South
86314,South
86327,South
86336,South
86305,South
86335,South
86315,South
86322,South
86304,South
86329,South
86324,South
86326,South
86325,South
86301,South
85390,South
85332,South
86320,South
85366,South
85365,South
85333,South
85367,South
85352,South
85349,South
85364,South
85356,South
85347,South
85350,South
85336,South
72166,South
72140,South
72003,South
72042,South
72134,South
72038,South
72055,South
72160,South
72048,South
72073,South
72026,South
71663,South
71638,South
71635,South
71658,South
71646,South
71661,South
71676,South
71653,South
71642,South
72531,South
72659,South
72617,South
72651,South
72537,South
72544,South
72658,South
72635,South
72626,South
72623,South
72519,South
72653,South
72654,South
72642,South
72719,South
72733,South
72722,South
72714,South
72732,South
72704,South
72738,South
72757,South
72762,South
72734,South
72761,South
72756,South
72745,South
72764,South
72736,South
72718,South
72751,South
72758,South
72715,South
72768,South
72711,South
72712,South
72716,South
72739,South
72747,South
72602,South
72644,South
72601,South
72615,South
72662,South
72611,South
72633,South
71671,South
71651,South
71631,South
71647,South
71742,South
71745,South
71744,South
71766,South
71701,South
72660,South
72616,South
72662,South
72631,South
72611,South
72613,South
72638,South
72632,South
72740,South
71663,South
71638,South
71640,South
71661,South
71653,South
71998,South
71921,South
71923,South
71999,South
71721,South
71772,South
71763,South
71728,South
71743,South
71933,South
71962,South
72453,South
72470,South
72464,South
72435,South
72436,South
72454,South
72456,South
72424,South
72425,South
72413,South
72461,South
72422,South
72430,South
72441,South
72137,South
72546,South
72523,South
72044,South
72530,South
72153,South
72545,South
72179,South
72534,South
72088,South
72067,South
72121,South
72581,South
72543,South
72550,South
72130,South
72131,South
71667,South
71660,South
71671,South
71665,South
71652,South
71603,South
72057,South
71753,South
71860,South
71764,South
71754,South
71861,South
71740,South
71752,South
71770,South
72080,South
72030,South
72110,South
72027,South
72823,South
72025,South
72157,South
72031,South
72156,South
72013,South
72107,South
72001,South
72127,South
72125,South
72063,South
72411,South
72421,South
72419,South
72447,South
72437,South
72402,South
72467,South
72416,South
72403,South
72417,South
72404,South
72450,South
72401,South
72414,South
72476,South
72427,South
72932,South
72921,South
72956,South
72947,South
72948,South
72959,South
72946,South
72957,South
72952,South
72934,South
72935,South
72955,South
72384,South
72386,South
72348,South
72325,South
72339,South
72332,South
72331,South
72327,South
72301,South
72364,South
72376,South
72331,South
72396,South
72347,South
72101,South
72387,South
72373,South
72324,South
72326,South
72346,South
72084,South
71748,South
71763,South
71652,South
71742,South
71725,South
71670,South
71638,South
71639,South
71630,South
71662,South
71654,South
72379,South
71643,South
71674,South
71655,South
71675,South
71638,South
71677,South
71646,South
71670,South
71642,South
71658,South
72032,South
72033,South
72047,South
72131,South
72061,South
72058,South
72035,South
72173,South
72023,South
72111,South
72076,South
72181,South
72120,South
72034,South
72106,South
72039,South
72951,South
72949,South
72933,South
72928,South
72820,South
72959,South
72821,South
72930,South
72947,South
72855,South
72946,South
72538,South
72539,South
72513,South
72529,South
72512,South
72542,South
72515,South
72531,South
72583,South
72554,South
72520,South
72528,South
72578,South
72576,South
71902,South
71956,South
71901,South
71933,South
71913,South
71949,South
71968,South
71903,South
71914,South
72104,South
71964,South
71909,South
72087,South
72128,South
72057,South
72079,South
72167,South
71603,South
71602,South
72065,South
72084,South
72150,South
72132,South
72015,South
72129,South
72450,South
72416,South
72401,South
72425,South
72474,South
72461,South
72443,South
72453,South
72436,South
72412,South
71847,South
71838,South
71852,South
71857,South
71859,South
71801,South
71835,South
71831,South
71862,South
71825,South
71855,South
72167,South
71929,South
71941,South
72084,South
71933,South
71942,South
72128,South
71921,South
71964,South
71943,South
72104,South
71923,South
71913,South
71901,South
71971,South
71959,South
71841,South
71852,South
71859,South
71831,South
71851,South
71973,South
71833,South
72572,South
72568,South
72524,South
72501,South
72534,South
72522,South
72020,South
72165,South
72571,South
72521,South
72081,South
72550,South
72575,South
72553,South
72526,South
72523,South
72527,South
72579,South
72564,South
72562,South
72112,South
72561,South
72584,South
72556,South
72585,South
72573,South
72565,South
72513,South
72517,South
72536,South
72512,South
72519,South
72528,South
72540,South
72566,South
72587,South
72479,South
72471,South
72112,South
72473,South
72005,South
72014,South
72020,South
72101,South
72431,South
72075,South
72043,South
72347,South
72169,South
72004,South
71644,South
72072,South
72175,South
72079,South
72168,South
71603,South
71602,South
72152,South
71665,South
72073,South
72150,South
72046,South
72182,South
72160,South
71601,South
72133,South
72132,South
71659,South
72852,South
72840,South
72839,South
72845,South
72847,South
72854,South
72846,South
72830,South
72837,South
72949,South
72832,South
71860,South
71770,South
71827,South
71826,South
71861,South
71845,South
72458,South
72415,South
72476,South
72445,South
72465,South
72434,South
72416,South
72466,South
72459,South
72440,South
72572,South
72410,South
72469,South
72457,South
72433,South
72366,South
72360,South
72368,South
72348,South
72341,South
72372,South
72311,South
72335,South
72355,South
72352,South
72320,South
71678,South
71603,South
71655,South
71643,South
71644,South
71667,South
71675,South
71866,South
71853,South
71822,South
71820,South
71836,South
71865,South
72851,South
72927,South
72933,South
72835,South
72834,South
72951,South
72863,South
72943,South
72949,South
72826,South
72865,South
72855,South
72842,South
72007,South
72037,South
72072,South
72083,South
72160,South
72024,South
72076,South
72086,South
72142,South
72176,South
72023,South
72046,South
72756,South
72721,South
72703,South
72740,South
72752,South
72760,South
72742,South
72776,South
72773,South
72727,South
72959,South
72632,South
72738,South
72601,South
72661,South
72677,South
72633,South
72634,South
72668,South
72682,South
72687,South
72619,South
72653,South
72675,South
72672,South
72658,South
72644,South
71854,South
71837,South
71840,South
71834,South
71839,South
72354,South
72338,South
72419,South
72313,South
72426,South
72428,South
72395,South
72315,South
72329,South
72351,South
72438,South
72370,South
72321,South
72358,South
72386,South
72310,South
72350,South
72442,South
72330,South
72391,South
72108,South
72029,South
72021,South
72134,South
72069,South
72366,South
71943,South
71969,South
71965,South
71933,South
71935,South
71957,South
71961,South
71960,South
71970,South
71835,South
71857,South
71828,South
71864,South
71858,South
71722,South
72641,South
72685,South
72742,South
72601,South
72638,South
72683,South
72628,South
72624,South
72670,South
72666,South
72616,South
72655,South
72640,South
72648,South
71726,South
71751,South
71764,South
71763,South
71762,South
71701,South
71720,South
72125,South
72016,South
72126,South
72025,South
72135,South
72001,South
72070,South
72389,South
72369,South
72312,South
72355,South
72333,South
72328,South
72353,South
72367,South
72069,South
72366,South
72342,South
72390,South
72383,South
72374,South
71952,South
71921,South
71922,South
71959,South
71940,South
71950,South
71958,South
71943,South
71852,South
71971,South
72472,South
72479,South
72377,South
72421,South
72324,South
72432,South
72354,South
72429,South
72386,South
72475,South
72419,South
72365,South
71945,South
71937,South
71973,South
71841,South
71972,South
71944,South
71953,South
71932,South
72802,South
72837,South
72801,South
72847,South
72858,South
72811,South
72823,South
72856,South
72679,South
72843,South
72812,South
72063,South
72846,South
72064,South
72066,South
72086,South
72060,South
72160,South
72017,South
72170,South
72040,South
72024,South
72176,South
72041,South
72255,South
72053,South
72113,South
72122,South
72135,South
72023,South
72215,South
72203,South
72225,South
72002,South
72117,South
72076,South
72223,South
72046,South
72124,South
72190,South
72207,South
72209,South
72227,South
72260,South
72103,South
72164,South
72106,South
72065,South
72214,South
72201,South
72206,South
72114,South
72116,South
72099,South
72183,South
72199,South
72132,South
72222,South
72210,South
72212,South
72016,South
72118,South
72142,South
72115,South
72221,South
72119,South
72126,South
72217,South
72204,South
72205,South
72211,South
72202,South
72231,South
72120,South
72180,South
72476,South
72434,South
72462,South
72455,South
72478,South
72459,South
72460,South
72449,South
72425,South
72413,South
72444,South
72346,South
72396,South
72340,South
72322,South
72359,South
72348,South
72372,South
72394,South
72392,South
72335,South
72326,South
72019,South
72002,South
72018,South
72065,South
72167,South
72015,South
72122,South
72089,South
72210,South
72022,South
72087,South
72011,South
71909,South
72104,South
72206,South
72103,South
72950,South
72944,South
72926,South
72841,South
71953,South
72958,South
72650,South
72636,South
72675,South
72686,South
72639,South
72645,South
72633,South
72669,South
72617,South
72901,South
72905,South
72923,South
72941,South
72944,South
72937,South
72903,South
72908,South
72904,South
72940,South
72918,South
72902,South
72906,South
72933,South
72919,South
72945,South
72936,South
72927,South
72938,South
72916,South
71846,South
71833,South
71841,South
71832,South
71823,South
71842,South
72529,South
72513,South
72469,South
72532,South
72482,South
72554,South
72569,South
72542,South
72521,South
72577,South
72466,South
72663,South
72567,South
72680,South
72560,South
72555,South
72657,South
72051,South
72533,South
72031,South
72530,South
72540,South
72153,South
72556,South
71749,South
71731,South
71758,South
71764,South
71724,South
71730,South
71750,South
71753,South
71747,South
71762,South
71765,South
71759,South
72088,West
72141,West
72080,West
72629,West
72067,West
72030,West
72028,West
72039,West
72679,West
72131,West
72031,West
72013,West
72153,West
72753,West
72774,West
72762,West
72728,West
72761,West
72735,West
72729,West
72702,West
72704,West
72701,West
72703,West
72959,West
72730,West
72773,West
72749,West
72765,West
72770,West
72741,West
72766,West
72727,West
72738,West
72717,West
72764,West
72769,West
72744,West
72734,West
72737,West
72948,West
72020,West
72568,West
72145,West
72060,West
72012,West
72178,West
72081,West
72137,West
72173,West
72085,West
72052,West
72102,West
72007,West
72111,West
72149,West
72045,West
72082,West
72068,West
72010,West
72136,West
72143,West
72139,West
72121,West
72006,West
72036,West
72074,West
72059,West
72123,West
72392,West
72101,West
72827,West
72853,West
72833,West
72828,West
72860,West
72857,West
72834,West
72824,West
72842,West
72838,West
72829,West
94542,West
94611,West
94603,West
94604,West
94710,West
95377,West
94712,West
94702,West
94602,West
94707,West
94578,West
94540,West
94537,West
94557,West
94701,West
94568,West
94587,West
94544,West
94546,West
94621,West
94704,West
94706,West
94709,West
94619,West
94662,West
94601,West
94555,West
94708,West
94514,West
95391,West
94620,West
94660,West
94615,West
94541,West
94545,West
94606,West
94607,West
94624,West
94618,West
94580,West
94586,West
94623,West
94543,West
94613,West
94614,West
94720,West
94560,West
94538,West
94501,West
